hex,type,flight,r,t,alt_baro,gs,track,baro_rate,lat,lon,nic,rc,seen_pos,mlat,tisb,messages,seen,rssi,is_spoofed
a2c0ff,adsb_icao,,N277FE,B763,ground,0.0,,,35.064331,-89.980928,8,186,0.645,[],[],5688349,0.6,-21.4,False
a1412e,adsb_icao,,N180FE,B763,ground,0.0,,,35.065018,-89.9809,8,186,37.442,[],[],4852596,20.1,-22.8,False
a0a6e9,adsb_icao,,N141FE,B763,ground,0.0,,,35.064309,-89.980259,8,186,4.715,[],[],5580619,3.7,-20.8,False
a124d4,adsb_icao,FDX309  ,N173FE,B763,ground,0.0,,,35.062775,-89.979583,8,186,1.511,[],[],5363183,1.5,-15.0,False
ac756c,adsb_icao,AAL1728 ,N9011P,A319,1525,127.0,178.65,-576,35.114731,-89.977467,8,186,0.324,[],[],5257429,0.0,-12.1,False
a161b3,adsb_icao,N1887B  ,N1887B,E55P,ground,19.5,,,35.055828,-89.973347,8,186,0.112,[],[],1287334,0.1,-19.1,False
ab6dea,adsb_icao,N83540  ,N83540,P28A,2400,108.5,214.86,,29.921823,-89.968304,9,75,0.0,[],[],683998,0.0,-7.3,False
a9b65b,adsb_icao,KII461  ,N725CK,B722,2300,189.7,161.57,512,34.984497,-89.962949,8,186,0.509,[],[],3245952,0.5,-7.9,False
ab3282,adsb_icao,SCX8756 ,N820SY,B738,39000,442.1,114.59,-64,45.140774,-89.956792,8,186,0.063,[],[],7366614,0.0,-8.3,False
ad0373,adsb_icao,DAL1203 ,N938AT,B712,32000,479.3,286.73,64,44.858481,-89.927316,8,186,0.063,[],[],6392046,0.1,-9.1,False
aaa929,adsb_icao,SWA2933 ,N7860A,B737,38000,409.7,312.92,-192,34.8685,-89.907569,7,371,0.52,[],[],8008714,0.3,-7.6,False
a3661f,adsb_icao,AAL2035 ,N318SF,B38M,35125,408.7,294.12,1344,33.611228,-89.905643,8,186,0.374,[],[],4344311,0.0,-13.2,False
a562aa,adsb_icao,UAL2422 ,N446UA,A320,32925,473.8,38.66,-64,40.864197,-89.901001,8,186,0.063,[],[],8596458,0.0,-12.0,False
0d0de1,other,AMX544  ,XA-DAH,B38M,41000,520.0,80.0,0,21.252167,-89.873149,0,0,5.758,[],[],1132843,5.5,-26.8,False
abe0df,adsb_icao,SWA2175 ,N8646B,B738,34975,488.6,109.36,-64,35.37174,-89.871963,8,186,0.324,[],[],9419376,0.2,-9.2,False
a67b07,adsb_icao,GTI3639 ,N5167A,B738,37000,488.1,60.55,64,34.144135,-89.863792,8,186,0.464,[],[],6644394,0.1,-8.2,False
ad9bc8,adsb_icao,AAL1031 ,N976UY,A321,32000,415.1,269.03,0,36.13138,-89.862437,8,186,0.324,[],[],7261896,0.1,-11.7,False
ad185f,adsb_icao,DAL2540 ,N943AT,B712,26100,418.0,204.3,1280,42.019679,-89.818342,8,186,0.349,[],[],5235372,0.1,-10.6,False
